step,reward,policy_gradient_loss,value_loss,entropy,std,inventory,pnl,spread_penalty
223,-0.036270052,0,0,0,0,4734.974540207505,-430.9648817763664,0.5724138468842498
224,-0.03622514,0,0,0,0,4634.974540207505,-408.83907802496105,0.48640234786995856
225,-0.036180962,0,0,0,0,4634.974540207505,-61.230132329277694,1.0786185924605713
226,-0.036137503,0,0,0,0,4634.974540207505,-475.6026273102034,1.5423708656460495
227,-0.036094755,0,0,0,0,4534.974540207505,-344.31759406160563,0.19374205798830726
228,-0.036052708,0,0,0,0,4634.974540207505,-692.9275163200218,0.43687446438832006
229,-0.036011353,0,0,0,0,4734.974540207505,-368.44535093801096,1.5244998592125991
230,-0.035970673,0,0,0,0,4834.974540207505,-418.34225185308605,0.21566564931207965
231,-0.035930663,0,0,0,0,4734.974540207505,-308.4236838691868,0.17336631917480355
232,-0.035891313,0,0,0,0,4734.974540207505,-594.8948455501813,1.1329515324233352
233,-0.03585261,0,0,0,0,4834.974540207505,-1126.4334239661694,0.017850164529888926
234,-0.03581455,0,0,0,0,4934.974540207505,-1771.9297635050025,0.4657399416089283
235,-0.03577712,0,0,0,0,5034.974540207505,-1486.843400405487,0.9568851955494342
236,-0.035740312,0,0,0,0,5034.974540207505,-932.9931278780568,1.9992137267341032
237,-0.035704114,0,0,0,0,5134.974540207505,-479.863857886754,0
238,-0.03566852,0,0,0,0,5234.974540207505,-846.270538427867,0.42597958739129177
239,-0.03563352,0,0,0,0,5234.765241290205,-824.3000523694791,1.0279801601089538
240,-0.03559911,0,0,0,0,5234.765241290205,-715.4288209259976,0.40381838721816077
241,-0.035565272,0,0,0,0,5334.765241290205,-271.427399429027,0.4253151651830939
242,-0.035532005,0,0,0,0,5434.765241290205,-192.9091158567462,0.011513311570640668
243,-0.0354993,0,0,0,0,5534.765241290205,-168.98845640802756,0.39304532495063566
244,-0.03546715,0,0,0,0,5532.718500298189,-111.339926894987,0.5134882584200802
245,-0.03543555,0,0,0,0,5632.718500298189,-1057.6325094187632,0.02359438427383981
246,-0.03540449,0,0,0,0,5632.718500298189,-1125.273950149538,1.5793965009269748
247,-0.035373952,0,0,0,0,5732.718500298189,-665.1629535735119,0
248,-0.03534394,0,0,0,0,5832.718500298189,-1149.2744994659442,1.3491643493770382
249,-0.03531445,0,0,0,0,5732.718500298189,-1091.891330884071,0.3296735956658337
250,-0.03528546,0,0,0,0,5832.718500298189,-1330.3097254729364,1.4123243206362213
251,-0.03525698,0,0,0,0,5932.718500298189,-1039.6554510972928,0
252,-0.035228994,0,0,0,0,5832.718500298189,-1040.6549017808866,0.11032520613942286
253,-0.035201497,0,0,0,0,5732.718500298189,246.24187259329483,0.7146334347708331
254,-0.03517448,0,0,0,0,5632.718500298189,380.52521157474257,0.47802289030888956
255,-0.035147946,0,0,0,0,5532.718500298189,-469.348489260301,0.2887727606706177
256,-0.035121873,0,0,0,0,5530.676376077834,-358.8641827877145,1.015707378769735
257,-0.035096265,0,0,0,0,5630.676376077834,801.0141166101675,1.0858927242261953
258,-0.035071116,0,0,0,0,5730.676376077834,572.339514506748,0.1513582193234374
259,-0.035046417,0,0,0,0,5730.676376077834,52.57724065100774,1.4664700698777997
260,-0.035022162,0,0,0,0,5830.676376077834,198.41906336974353,0.9431147717208143
261,-0.03499835,0,0,0,0,5930.676376077834,18.915577777894214,1.8196795544296431
262,-0.034974966,0,0,0,0,5929.6254892556,-425.84923833445646,0.3809936387579683
263,-0.034952015,0,0,0,0,5829.6254892556,-562.8134569635149,0.2271695248192978
264,-0.03492948,0,0,0,0,5929.6254892556,-1038.2582323392853,0.4231265349417975
265,-0.034907367,0,0,0,0,5829.6254892556,-974.1210691805463,0.1701670726848617
266,-0.034885664,0,0,0,0,5929.6254892556,-524.6133480675053,0.18925930208944564
267,-0.034864366,0,0,0,0,6029.6254892556,-709.3245941256173,0.627027845662403
268,-0.034843467,0,0,0,0,5929.6254892556,-759.0008519217372,0.25698484450791315
269,-0.03482297,0,0,0,0,5929.6254892556,-655.2215483912732,1.6183198332339161
270,-0.03480286,0,0,0,0,5929.6254892556,-536.6037045128178,1.4805275195605536
271,-0.034783136,0,0,0,0,5829.6254892556,-132.31610503746197,0.8131498076758285
272,-0.034763794,0,0,0,0,5729.6254892556,-237.2560360750649,0.5241522170179531
273,-0.034744825,0,0,0,0,5829.6254892556,-23.698871510569006,0.21097583257411337
274,-0.03472623,0,0,0,0,5829.6254892556,-348.3774151473772,1.597696848909823
275,-0.034708,0,0,0,0,5729.6254892556,-665.9606841334607,0.11290109819297216
276,-0.03469013,0,0,0,0,5829.6254892556,-758.4018135271035,0.7994871158065058
277,-0.03467262,0,0,0,0,5829.6254892556,-904.1068695480935,1.6475843046454446
278,-0.034655467,0,0,0,0,5829.6254892556,-1487.1049996840302,1.2266310413938555
279,-0.034638662,0,0,0,0,5829.6254892556,-1399.6641754661687,0.9079008770828664
280,-0.0346222,0,0,0,0,5929.6254892556,-1344.8098309691995,1.5833387366642073
281,-0.034606077,0,0,0,0,5927.3209105039705,-1167.0065105550457,0.9153229535270149
282,-0.03459029,0,0,0,0,6027.3209105039705,-783.306563078193,1.8748837883704985
283,-0.034574836,0,0,0,0,6127.3209105039705,-1150.9308584288228,0.5294263341219235
284,-0.03455971,0,0,0,0,6227.3209105039705,-845.5455644878093,1.3490425534466508
285,-0.03454491,0,0,0,0,6327.3209105039705,56.94361111824401,1.2324852814959397
286,-0.03453043,0,0,0,0,6427.3209105039705,-429.5856594373472,0.8769489613872617
287,-0.034516264,0,0,0,0,6426.155435051852,18.9410313507542,0.10684103321693228
288,-0.034502413,0,0,0,0,6526.155435051852,148.7663151032757,1.7370281108051395
289,-0.034488868,0,0,0,0,6426.155435051852,487.036850462202,0.5321844142582425
290,-0.03447563,0,0,0,0,6526.155435051852,623.1983382962644,0.7725450989999403
291,-0.034462694,0,0,0,0,6626.155435051852,519.3678649479989,0.8069649289160157
292,-0.034450054,0,0,0,0,6626.155435051852,684.9813079810701,0.43606967034504185
293,-0.03443771,0,0,0,0,6726.155435051852,-628.0097713023424,0.47377669850307336
294,-0.034425657,0,0,0,0,6826.155435051852,-463.0228073436301,0.45154636681037486
295,-0.03441389,0,0,0,0,6926.155435051852,-1122.515967417974,1.9711239221786176
296,-0.03440241,0,0,0,0,6826.155435051852,-816.3509225880262,0.39187817521306045
297,-0.034391206,0,0,0,0,6726.155435051852,-989.9630228476599,0.796985826853867
298,-0.034380283,0,0,0,0,6626.155435051852,-1316.0244530534837,0.08805913163780625
299,-0.034369636,0,0,0,0,6726.155435051852,-735.8602465002332,0.8272897048510147
300,-0.03435926,0,0,0,0,6826.155435051852,70.4856754548382,0.8830347391747463
301,-0.03434915,0,0,0,0,6726.155435051852,537.262332262937,0.32255328541622924
302,-0.034339305,0,0,0,0,6722.420104054639,1075.0316128688864,0.5431713038174761
303,-0.034329724,0,0,0,0,6822.420104054639,1410.173682586057,1.6873921046498936
304,-0.0343204,0,0,0,0,6722.420104054639,1674.0250481367111,0.032585557851998584
305,-0.034311336,0,0,0,0,6822.420104054639,865.5699314360972,0.2380954126399197
306,-0.03430252,0,0,0,0,6722.420104054639,1662.0255364179611,0.10212459328752321
307,-0.034293957,0,0,0,0,6822.420104054639,2263.121974922251,0.29739667084982757
308,-0.03428564,0,0,0,0,6822.420104054639,2604.2638004987966,1.090524396418496
309,-0.03427757,0,0,0,0,6922.420104054639,1704.326067244634,1.2771574503342478
310,-0.034269743,0,0,0,0,6822.420104054639,2043.4674655753188,0.046463418013187645
311,-0.03426215,0,0,0,0,6922.420104054639,2520.9827398869675,1.1498831204433853
312,-0.034254797,0,0,0,0,7022.420104054639,2935.3100691281725,1.4198818288550583
313,-0.034247678,0,0,0,0,7122.420104054639,2790.9394890451804,1.411324927093394
314,-0.03424079,0,0,0,0,7222.420104054639,2066.6544951186515,1.9994181302001615
315,-0.03423413,0,0,0,0,7322.420104054639,2683.466274655657,0.16988715194381668
316,-0.034227695,0,0,0,0,7322.420104054639,2935.308543249266,0.26155123263047186
317,-0.034221485,0,0,0,0,7322.420104054639,3081.7882300841156,0.4306150154593051
318,-0.0342155,0,0,0,0,7322.420104054639,2862.124565463513,0.23290739665588467
319,-0.03420973,0,0,0,0,7422.420104054639,3221.268710376229,0.7970227575651645
320,-0.03420417,0,0,0,0,7522.420104054639,3146.972024764167,0.3451278444608038
321,-0.034198835,0,0,0,0,7622.420104054639,2688.64445138257,1.9994093619904316
322,-0.034193706,0,0,0,0,7522.420104054639,3370.2260336866602,0.19265659004329735
323,-0.03418879,0,0,0,0,7522.022495378404,2989.599934553262,0.5302701557814683
